artist,album,albumId
The Cult,"Pure Cult: The Best Of The Cult (For Rockers, Ravers, Lovers & Sinners) [UK]",213
The Doors,The Doors,214
The Police,The Police Greatest Hits,215
The Rolling Stones,"Hot Rocks, 1964-1971 (Disc 1)",216
The Rolling Stones,No Security,217
The Rolling Stones,Voodoo Lounge,218
The Tea Party,Tangents,219
The Tea Party,Transmission,220
The Who,My Generation - The Very Best Of The Who,221
Tim Maia,Serie Sem Limite (Disc 1),222
Tim Maia,Serie Sem Limite (Disc 2),223
Titãs,Acústico,224
Titãs,Volume Dois,225
Battlestar Galactica,Battlestar Galactica: The Story So Far,226
Battlestar Galactica,"Battlestar Galactica, Season 3",227
Heroes,"Heroes, Season 1",228
Lost,"Lost, Season 3",229
Lost,"Lost, Season 1",230
Lost,"Lost, Season 2",231
U2,Achtung Baby,232
U2,All That You Can't Leave Behind,233
U2,B-Sides 1980-1990,234
U2,How To Dismantle An Atomic Bomb,235
U2,Pop,236
U2,Rattle And Hum,237
U2,The Best Of 1980-1990,238
U2,War,239
U2,Zooropa,240
UB40,UB40 The Best Of - Volume Two [UK],241
Van Halen,Diver Down,242
Van Halen,"The Best Of Van Halen, Vol. I",243
Van Halen,Van Halen,244
Van Halen,Van Halen III,245
Velvet Revolver,Contraband,246
Vinícius De Moraes,Vinicius De Moraes,247
Zeca Pagodinho,Ao Vivo [IMPORT],248
The Office,"The Office, Season 1",249
The Office,"The Office, Season 2",250
The Office,"The Office, Season 3",251
Dread Zeppelin,Un-Led-Ed,252
Battlestar Galactica (Classic),"Battlestar Galactica (Classic), Season 1",253
Aquaman,Aquaman,254
U2,Instant Karma: The Amnesty International Campaign to Save Darfur,255
Ozzy Osbourne,Speak of the Devil,256
Scorpions,20th Century Masters - The Millennium Collection: The Best of Scorpions,257
House Of Pain,House of Pain,258
O Rappa,Radio Brasil (O Som da Jovem Vanguarda) - Seleccao de Henrique Amaro,259
Cake,Cake: B-Sides and Rarities,260
Lost,"LOST, Season 4",261
Aisha Duo,Quiet Songs,262
Habib Koité and Bamada,Muso Ko,263
Karsh Kale,Realize,264
The Posies,Every Kind of Light,265
Luciana Souza/Romero Lubambo,Duos II,266
Aaron Goldberg,Worlds,267
Nicolaus Esterhazy Sinfonia,The Best of Beethoven,268
Temple of the Dog,Temple of the Dog,269
Chris Cornell,Carry On,270
Audioslave,Revelations,271
Alberto Turco & Nova Schola Gregoriana,Adorate Deum: Gregorian Chant from the Proper of the Mass,272
"Richard Marlow & The Choir of Trinity College, Cambridge",Allegri: Miserere,273
English Concert & Trevor Pinnock,Pachelbel: Canon & Gigue,274
"Anne-Sophie Mutter, Herbert Von Karajan & Wiener Philharmoniker",Vivaldi: The Four Seasons,275
"Hilary Hahn, Jeffrey Kahane, Los Angeles Chamber Orchestra & Margaret Batjer",Bach: Violin Concertos,276
Wilhelm Kempff,Bach: Goldberg Variations,277
Yo-Yo Ma,Bach: The Cello Suites,278
Scholars Baroque Ensemble,Handel: The Messiah (Highlights),279
Academy of St. Martin in the Fields & Sir Neville Marriner,The World of Classical Favourites,280
Academy of St. Martin in the Fields Chamber Ensemble & Sir Neville Marriner,Sir Neville Marriner: A Celebration,281
"Berliner Philharmoniker, Claudio Abbado & Sabine Meyer",Mozart: Wind Concertos,282
Royal Philharmonic Orchestra & Sir Thomas Beecham,Haydn: Symphonies 99 - 104,283
Orchestre Révolutionnaire et Romantique & John Eliot Gardiner,Beethoven: Symhonies Nos. 5 & 6,284
"Britten Sinfonia, Ivor Bolton & Lesley Garrett",A Soprano Inspired,285
"Chicago Symphony Chorus, Chicago Symphony Orchestra & Sir Georg Solti",Great Opera Choruses,286
Sir Georg Solti & Wiener Philharmoniker,Wagner: Favourite Overtures,287
"Academy of St. Martin in the Fields, John Birch, Sir Neville Marriner & Sylvia McNair","Fauré: Requiem, Ravel: Pavane & Others",288
London Symphony Orchestra & Sir Charles Mackerras,Tchaikovsky: The Nutcracker,289
Barry Wordsworth & BBC Concert Orchestra,The Last Night of the Proms,290
"Herbert Von Karajan, Mirella Freni & Wiener Philharmoniker",Puccini: Madama Butterfly - Highlights,291
Eugene Ormandy,"Holst: The Planets, Op. 32 & Vaughan Williams: Fantasies",292
Luciano Pavarotti,Pavarotti's Opera Made Easy,293
Leonard Bernstein & New York Philharmonic,Great Performances - Barber's Adagio and Other Romantic Favorites for Strings,294
Boston Symphony Orchestra & Seiji Ozawa,Carmina Burana,295
Aaron Copland & London Symphony Orchestra,"A Copland Celebration, Vol. I",296
Ton Koopman,Bach: Toccata & Fugue in D Minor,297
Sergei Prokofiev & Yuri Temirkanov,Prokofiev: Symphony No.1,298
Chicago Symphony Orchestra & Fritz Reiner,Scheherazade,299
Orchestra of The Age of Enlightenment,Bach: The Brandenburg Concertos,300
